,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234, Chinandega
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234, Rivas
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234, Caazo
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234, Masaya
2647,2008-05-29 00:00:00,2008-05-29 00:00:00,Nicaragua,Storm,Tropical cyclone,13.0,25000.0,,2008-0234, Granada
2657,2008-04-13 00:00:00,2008-04-13 00:00:00,Philippines,Storm,Tropical cyclone,1.0,,16.0,2008-0155,Mindanao Island
2658,2008-05-18 00:00:00,2008-05-18 00:00:00,Philippines,Storm,Tropical cyclone,64.0,1496668.0,99.174,2008-0197,Botoloan
2658,2008-05-18 00:00:00,2008-05-18 00:00:00,Philippines,Storm,Tropical cyclone,64.0,1496668.0,99.174,2008-0197, Pangasinan
2658,2008-05-18 00:00:00,2008-05-18 00:00:00,Philippines,Storm,Tropical cyclone,64.0,1496668.0,99.174,2008-0197, Zambales
2658,2008-05-18 00:00:00,2008-05-18 00:00:00,Philippines,Storm,Tropical cyclone,64.0,1496668.0,99.174,2008-0197,La Union provinces
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249,Aklan
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Cebu
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Cotabato
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, General Santos
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Iloilo
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Leyte
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Marinduque
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Masbate
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Mindoro Oriental
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Ormoc
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Romblon
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Eastern
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249,Western Samar Island
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Iloilo
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Antique
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Capiz
2659,2008-06-21 00:00:00,2008-06-23 00:00:00,Philippines,Storm,Tropical cyclone,644.0,4785460.0,284.694,2008-0249, Negros Occidental
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292,Piddig
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292, Pasuquin   Metro Manilla 
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292,Northern Luzon
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292, Ilocos Norte
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292, Ilocos Sur
2660,2008-07-28 00:00:00,2008-07-29 00:00:00,Philippines,Storm,Tropical cyclone,10.0,22081.0,0.04,2008-0292, Abra
2661,2008-08-04 00:00:00,2008-08-04 00:00:00,Philippines,Storm,Tropical cyclone,2.0,4498.0,,2008-0329,Quezon city 
2661,2008-08-04 00:00:00,2008-08-04 00:00:00,Philippines,Storm,Tropical cyclone,2.0,4498.0,,2008-0329,NCR
2661,2008-08-04 00:00:00,2008-08-04 00:00:00,Philippines,Storm,Tropical cyclone,2.0,4498.0,,2008-0329, CAR
2661,2008-08-04 00:00:00,2008-08-04 00:00:00,Philippines,Storm,Tropical cyclone,2.0,4498.0,,2008-0329, Region I
2661,2008-08-04 00:00:00,2008-08-04 00:00:00,Philippines,Storm,Tropical cyclone,2.0,4498.0,,2008-0329, Region III
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369,Ilocos
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369, Cagayan
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369, Cordillera regions 
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369,La Union
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369, Cagayan
2663,2008-08-22 00:00:00,2008-08-22 00:00:00,Philippines,Storm,Tropical cyclone,38.0,429463.0,33.87,2008-0369, Benguet provinces
2664,2008-09-22 00:00:00,2008-09-22 00:00:00,Philippines,Storm,Tropical cyclone,37.0,46132.0,7.42,2008-0426,Itogon
2664,2008-09-22 00:00:00,2008-09-22 00:00:00,Philippines,Storm,Tropical cyclone,37.0,46132.0,7.42,2008-0426, Central region
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,Pro
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Tudela
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Pilar
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,San Francisco 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,Camotes Island
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Madridejos
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Bantayan
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,Sta. Fe 
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,Bantayan Island
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Catmon
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Medellin
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, San Remegio
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Tuburan
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Carmen
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Tabuelan
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540, Tabogon
